obpm_bpm,4_seas_past_obpm_playoffs,5_seas_past_obpm_playoffs,5_euc_clones_obpm,3_euc_clones_obpm,vorp_regseas,5_cos_clones_obpm,4_euc_clones_obpm,pie_adv,2_euc_clones_obpm,4_cos_clones_obpm,1_pear_clones_obpm,5_pear_clones_obpm,3_seas_past_obpm_playoffs,3_yr_rolling_avg_obpm_playoffs,4_pear_clones_obpm,3_cos_clones_obpm,pass%_drives,fg%_drives,1_euc_clones_obpm,1_seas_past_obpm_playoffs,2_yr_rolling_avg_obpm_playoffs,painttouch pts_shooting_eff,3_pear_clones_obpm,1_cos_clones_obpm,pts%_drives,+/-_trad,avg speed off_speed,3pa_trad,tov%_drives,pull upfg%_shooting_eff,ft%_drives,3pm_trad,fgm_trad,tov_trad,3p%_catch&shoot,mr_fg%_shootingzone,2_pear_clones_obpm,oreb_oreb,ftm_trad,2_cos_clones_obpm,poss_adv,fgm%ast_scoring,to ratio_adv,fga_trad,ftm_drives,3fgm%ast_scoring,ast/to_adv,fg%_pullup,pf%_drives,season,obpm_playoffs,2_yr_roll_obpm_bpm,2_yr_roll_pie_adv,2_yr_roll_vorp_regseas,3_yr_roll_obpm_bpm,3_yr_roll_pie_adv,3_yr_roll_vorp_regseas,4_yr_roll_obpm_bpm,4_yr_roll_pie_adv,4_yr_roll_vorp_regseas,5_yr_roll_obpm_bpm,5_yr_roll_pie_adv,5_yr_roll_vorp_regseas,player
-0.2,-0.2,-0.2,-0.92,-0.7000000000000001,1.2,3.76,-1.0,8.8,-0.8500000000000001,5.05,1.6,4.2,-0.2,4.4,3.125,4.633333333333334,35.4,35.8,-0.4,4.4,4.4,1.4,4.633333333333334,1.6,41.2,1.2,4.75,7.3,6.9,37.5,80.4,2.6,6.2,2.5,36.3,37.6,4.0,1.2,2.4,4.0,4796,73.6,11.5,15.0,0.5,92.9,1.15,37.5,8.2,2016,2.1,-0.7,9.1,1.0,-0.7,9.1,1.0,-0.7,9.1,1.0,-0.7,9.1,1.0,Al-Farouq Aminu
-1.4,-0.8999999999999999,-0.8999999999999999,-0.1399999999999999,0.5333333333333333,0.4,7.459999999999999,-0.1999999999999999,9.2,1.0,7.85,7.4,7.459999999999999,-0.8999999999999999,3.25,7.85,8.333333333333334,29.3,41.7,2.1,2.1,3.25,1.4,8.333333333333334,7.4,48.2,0.6,4.53,5.9,11.6,35.9,72.0,1.9,5.1,2.6,33.8,31.6,7.95,1.3,2.7,7.95,3601,66.7,13.1,12.9,0.6,100.0,1.05,37.8,10.4,2017,-0.2,-0.44999999999999996,8.95,1.1,-0.44999999999999996,8.95,1.1,-0.44999999999999996,8.95,1.1,-0.44999999999999996,8.95,1.1,Al-Farouq Aminu
-0.7,-1.0499999999999998,-1.0499999999999998,0.1,0.4333333333333334,1.3,2.16,0.225,9.0,0.95,1.7500000000000002,1.6,0.32,4.4,2.1,0.75,2.266666666666667,31.9,38.4,2.1,-0.2,0.95,1.4,-0.3999999999999999,1.6,41.8,5.2,4.46,8.0,9.4,20.9,80.8,2.9,5.4,1.9,37.2,14.3,0.0,1.4,1.4,2.9000000000000004,4250,74.3,10.1,13.7,0.3,96.0,1.06,20.9,6.1,2018,4.4,-0.7999999999999999,9.0,0.8,-0.7666666666666666,9.033333333333333,0.8666666666666667,-0.7666666666666666,9.033333333333333,0.8666666666666667,-0.7666666666666666,9.033333333333333,0.8666666666666667,Al-Farouq Aminu
0.1,4.4,0.1,0.7000000000000001,1.366666666666667,1.5,4.68,0.975,9.7,1.0500000000000005,4.5,1.0,-0.0799999999999999,2.1,2.1,0.4,3.9,25.2,46.5,-2.3,4.4,2.1,2.0,0.8666666666666667,1.0,64.9,8.0,4.55,5.8,9.0,17.1,85.4,2.0,5.3,1.5,35.8,20.0,1.3,1.4,3.1,1.3,4828,69.6,8.5,12.3,0.4,100.0,1.44,17.1,9.0,2019,-0.8,-1.0499999999999998,9.1,0.85,-0.7666666666666666,9.0,0.9666666666666667,-0.75,9.025,0.975,-0.75,9.025,0.975,Al-Farouq Aminu
-1.8,-1.8,-1.8,-1.32,-0.1,-0.4,5.340000000000001,-2.1,5.9,0.5,6.275,0.3,1.5599999999999998,-1.8,-1.8,1.5499999999999998,6.266666666666667,25.8,46.0,0.9,-1.8,-1.8,0.4,0.7666666666666666,8.5,55.8,-1.5,4.1,7.2,10.7,32.8,75.0,2.4,5.6,1.8,35.6,38.0,-0.65,0.6,2.7,6.2,3434,63.4,9.1,14.1,0.5,89.3,1.31,33.3,10.3,2014,-2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alan Anderson
-1.7,-1.7,-1.7,-0.74,-0.6333333333333333,0.2,5.76,-0.4499999999999999,7.1,-0.2999999999999999,6.199999999999999,6.3,2.28,-1.7,-2.4,2.225,5.433333333333333,32.6,53.0,-2.4,-2.4,-2.4,0.8,1.6666666666666663,6.3,54.9,-1.6,4.24,6.1,7.7,32.1,80.8,2.1,5.6,1.7,35.8,37.5,2.35,0.5,2.4,5.1,3466,64.6,9.6,12.7,0.3,82.2,1.38,34.0,5.6,2015,2.9,-1.8,5.9,-0.4,-1.8,5.9,-0.4,-1.8,5.9,-0.4,-1.8,5.9,-0.4,Alan Anderson
-1.3,-1.3,-1.3,0.2999999999999999,0.6999999999999998,0.3,1.4200000000000004,0.575,10.1,1.15,1.1250000000000002,0.9,0.4800000000000001,-1.3,-1.3,0.4250000000000001,0.666666666666667,22.8,37.8,2.9,-1.3,-1.3,0.6,0.6666666666666669,0.9,55.4,-0.5,4.43,6.6,8.3,35.5,82.0,2.2,7.8,2.8,31.5,39.4,-1.2,0.3,4.9,2.6500000000000004,2167,49.4,10.1,19.1,0.8,66.0,1.12,36.7,9.9,2018,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alec Burks
1.2,1.2,1.2,-0.1199999999999999,-0.6666666666666666,1.1,-0.1599999999999999,-1.825,11.9,-1.25,-0.475,-0.6,0.74,1.2,4.2,0.7749999999999999,-0.4333333333333333,26.8,40.3,-1.1,1.2,4.2,1.1,0.7999999999999999,-0.6,68.4,-6.0,4.35,8.1,6.6,41.5,89.9,3.1,8.6,2.4,37.7,41.3,0.25,0.8,6.3,0.35,3729,51.7,7.8,20.6,1.6,68.1,2.08,41.4,13.7,2020,-0.8,-1.3,10.1,0.3,-1.3,10.1,0.3,-1.3,10.1,0.3,-1.3,10.1,0.3,Alec Burks
0.9,3.4,3.4,-0.56,-0.0666666666666668,1.1,-1.04,-0.8500000000000001,11.5,0.2999999999999998,-1.2,-1.2,-1.66,4.2,1.7000000000000002,-1.975,-0.0999999999999999,37.6,44.0,-4.4,-0.8,1.7000000000000002,0.6,-1.4666666666666668,-1.2,56.6,4.9,4.23,9.7,5.2,42.8,85.4,4.0,8.3,1.9,38.2,41.5,0.05,0.4,4.0,0.05,2540,55.2,6.9,19.7,0.8,68.6,2.18,42.8,8.3,2021,2.3,-0.050000000000000044,11.0,0.7000000000000001,-0.050000000000000044,11.0,0.7000000000000001,-0.050000000000000044,11.0,0.7000000000000001,-0.050000000000000044,11.0,0.7000000000000001,Alec Burks
-1.3,-1.3,-1.3,-1.92,-2.733333333333333,0.1,5.5200000000000005,-3.375,5.2,-0.95,4.775,1.6,1.8400000000000003,-1.3,-1.3,2.9000000000000004,4.4,27.7,45.7,-3.0,-1.3,-1.3,0.1,4.4,1.6,60.0,0.0,4.7,11.1,6.2,26.5,100.0,4.2,6.0,1.5,40.6,33.3,2.9000000000000004,0.4,2.0,4.5,2222,85.8,7.6,15.3,0.1,96.8,1.21,27.1,4.6,2017,-2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alex Abrines
