5_euc_clones_dbpm,5_cos_clones_dbpm,3_euc_clones_dbpm,2_pear_clones_dbpm,1_euc_clones_dbpm,4_cos_clones_dbpm,def_arch,4_euc_clones_dbpm,5_pear_clones_dbpm,opp ptspaint_def,3_cos_clones_dbpm,stl%_def,5_seas_past_dbpm_playoffs,avg drebdistance_reb,opp ptsoff tov_def,3_pear_clones_dbpm,2_euc_clones_dbpm,defws_def,4_seas_past_dbpm_playoffs,1_seas_past_dbpm_playoffs,contesteddreb_reb,2_cos_clones_dbpm,dreb_def,pf_misc,bpm_regseas,6_yr_rolling_avg_dbpm_playoffs,dbpm_bpm,pie_defadv,Unnamed: 0,def rtg_def,gp,%dreb_def,drebchances_reb,drebchance%_reb,4_yr_rolling_avg_dbpm_playoffs,stl_def,dfg%_imp,dist. miles def_speed,poss_defadv,blka_misc,2_seas_past_dbpm_playoffs,4_pear_clones_dbpm,3_yr_rolling_avg_dbpm_playoffs,dreb_reb,dreb%_def,5_yr_rolling_avg_dbpm_playoffs,blk_def,dfga_imp,contesteddreb%_reb,opp ptsfb_def,%blk_def,1_pear_clones_dbpm,1_cos_clones_dbpm,3_seas_past_dbpm_playoffs,min,dfgm_imp,adjusteddreb chance%_reb,opp pts2nd chance_def,2_yr_rolling_avg_dbpm_playoffs,vorp_regseas,player,season,dbpm_playoffs
0.5,-0.18,0.3999999999999999,0.1999999999999999,0.8,0.35,4,0.5,0.6799999999999999,44.8,1.2666666666666666,20.2,0.2,6.0,17.1,0.5,0.45,0.1119999999999999,0.2,3.1,1.2,1.95,8.4,3.6,0.1,3.1,0.2,8.8,20,106.7,82,24.5,7.8,62.6,3.1,1.5,59.5,0.95,4796,0.7,0.2,0.35,3.1,4.9,16.8,3.1,1.1,2.5,25.4,11.1,23.0,2.8,2.8,0.2,28.6,1.5,67.6,12.8,3.1,1.2,Al-Farouq Aminu,2016,0.5
0.36,0.0799999999999999,0.5666666666666667,1.3,0.5,0.2249999999999999,7,0.175,0.0799999999999999,42.8,0.8333333333333334,23.9,-0.9,5.5,15.3,0.8333333333333334,0.5,0.144,-0.9,0.5,1.9,1.3,10.4,2.8,-1.1,1.8,0.4,9.2,21,107.1,61,29.9,10.6,58.7,1.8,1.7,60.0,0.93,3601,0.7,3.1,0.2249999999999999,1.8,6.2,20.4,1.8,1.2,3.4,29.7,12.3,22.8,1.6,1.6,-0.9,29.1,2.1,64.5,12.6,1.8,0.4,Al-Farouq Aminu,2017,0.1
0.1399999999999999,0.54,0.4666666666666666,0.25,0.1,0.275,7,0.3999999999999999,0.18,43.7,0.3333333333333333,23.4,0.55,5.2,14.7,0.3333333333333333,0.3,0.18,0.55,0.1,1.4,0.25,10.1,3.2,0.4,1.2333333333333334,1.1,9.0,22,104.4,69,28.1,9.7,63.7,1.2333333333333334,1.9,57.5,0.98,4250,0.4,0.5,0.275,1.2333333333333334,6.2,19.8,1.2333333333333334,0.9,3.7,22.4,12.1,15.7,-0.6,-0.6,3.1,30.0,2.1,67.8,12.3,0.3,1.3,Al-Farouq Aminu,2018,0.3
0.32,0.72,0.3,0.6,0.3,0.65,4,0.2,-0.0399999999999999,47.3,0.5333333333333333,18.9,0.4666666666666667,5.2,13.7,0.5333333333333333,0.4,0.147,3.1,0.3,1.5,0.6,10.3,3.0,0.7,1.0,0.6,9.7,23,108.2,81,28.9,9.4,65.2,1.0,1.4,66.1,0.96,4828,0.6,0.1,0.65,0.3,6.1,20.4,1.0,0.7,3.2,24.5,13.2,12.5,0.9,0.9,0.5,28.3,2.1,70.2,13.2,0.2,1.5,Al-Farouq Aminu,2019,-0.1
-0.06,0.94,-0.2333333333333333,1.25,0.1,0.7000000000000001,4,-0.125,0.32,44.0,0.0333333333333333,15.9,-1.0,8.7,17.4,0.8666666666666667,0.2,0.151,-1.0,-1.0,0.5,0.0,3.9,4.3,-2.8,-1.0,-1.0,5.9,24,104.7,77,12.5,4.3,48.2,-1.0,1.4,67.3,0.74,3434,0.7,-1.0,0.475,-1.0,2.1,7.8,-1.0,0.3,1.4,22.4,13.6,7.4,0.7,0.7,-1.0,22.7,1.0,53.8,14.9,-1.0,-0.4,Alan Anderson,2014,0.6
0.42,0.6399999999999999,0.7333333333333334,1.2,0.2,0.8999999999999999,4,0.625,0.2,45.0,0.5666666666666667,22.0,0.2,8.2,15.6,0.7000000000000001,0.4,0.192,0.2,0.6,0.6,1.2,5.0,4.3,-1.5,0.6,0.2,7.1,25,101.1,74,14.7,4.6,57.5,0.6,1.6,73.6,0.79,3466,0.8,0.2,0.35,0.6,2.6,9.6,0.6,0.1,1.4,21.4,14.1,3.4,0.7,0.7,0.2,23.6,1.1,64.8,14.3,0.6,0.2,Alan Anderson,2015,1.7
0.92,0.0799999999999999,0.4333333333333333,-1.0,0.9,-0.275,5,0.3249999999999999,-0.62,43.8,-0.1,22.3,0.4,6.0,17.1,-0.3999999999999999,-0.0499999999999999,0.166,0.4,0.4,0.5,-0.55,8.0,3.5,-0.9,0.4,0.4,10.1,26,105.3,64,23.4,4.8,62.5,0.4,1.7,69.4,0.55,2167,1.1,0.4,-0.5,0.4,3.0,16.8,0.4,0.4,1.1,17.9,9.1,7.4,-1.8,-0.2,0.4,16.5,0.8,67.3,10.7,0.4,0.3,Alec Burks,2018,2.8
-0.7,2.02,-0.7333333333333334,2.1,-0.8,2.05,0,-0.775,1.64,47.3,2.1666666666666665,21.8,-0.7,6.6,17.2,1.9,-0.6000000000000001,0.127,-0.7,-0.7,0.7,1.35,6.3,3.4,0.5,2.8,-0.7,11.9,27,109.8,66,19.4,5.8,63.4,2.8,1.7,59.3,0.91,3729,1.2,2.8,1.825,2.8,3.7,13.1,2.8,0.5,2.3,19.7,14.7,9.9,1.2,1.5,-0.7,26.6,1.3,70.9,12.3,2.8,1.1,Alec Burks,2020,-2.7
0.7000000000000001,-0.26,0.5666666666666668,-0.0499999999999999,0.8,0.0,2,0.7250000000000001,-0.2599999999999999,42.4,0.3333333333333333,17.1,-0.5000000000000001,7.3,14.8,-0.4666666666666666,0.55,0.2319999999999999,-0.5000000000000001,-2.7,0.8,-0.0499999999999999,8.1,4.0,1.5,0.0499999999999998,0.6,11.5,28,104.6,49,22.4,5.8,73.0,0.0499999999999998,1.2,63.2,0.87,2540,1.2,-0.5000000000000001,-0.6,0.0499999999999998,4.2,15.6,0.0499999999999998,0.6,1.8,18.9,9.1,10.9,-0.3,-0.3,2.8,25.6,1.1,78.3,12.2,0.0499999999999998,1.1,Alec Burks,2021,1.6
-0.1,1.04,-0.1333333333333333,0.25,0.0,1.225,0,-0.15,0.38,48.1,2.1333333333333333,22.7,-0.4,8.1,16.7,-0.3333333333333333,-0.1,0.132,-0.4,-0.4,0.4,2.1,3.1,5.1,-1.6,-0.4,-0.4,5.2,29,107.8,68,9.4,3.0,52.3,-0.4,1.7,63.4,0.53,2222,0.4,-0.4,0.3,-0.4,1.6,6.6,-0.4,0.4,1.4,23.9,10.5,7.5,0.3,3.5,-0.4,15.5,0.9,57.3,12.5,-0.4,0.1,Alex Abrines,2017,-1.9
0.22,-0.74,-0.4333333333333333,-1.0,-1.9,-0.55,1,0.15,-1.14,43.6,-0.6333333333333334,19.0,0.4,8.5,13.8,-1.133333333333333,-0.95,0.148,0.4,-1.9,0.4,-1.1,3.8,5.3,-1.5,-1.9,0.4,4.8,30,106.5,73,12.2,3.3,48.9,-1.9,1.6,67.6,0.54,2320,0.4,0.4,-1.225,-1.9,1.6,7.9,-1.9,0.3,1.5,22.1,10.2,6.7,0.3,-1.4,0.4,15.1,1.0,53.1,13.9,-1.9,0.1,Alex Abrines,2018,1.9
2.12,-0.3199999999999999,1.5,-0.75,1.4,-0.2749999999999999,8,1.95,-0.3199999999999999,43.1,-0.6333333333333333,31.4,2.4,9.4,15.6,-0.6333333333333333,1.8,0.248,2.4,2.4,0.5,-0.75,4.2,3.9,-0.2,2.4,2.4,7.2,31,101.0,64,12.4,3.7,61.3,2.4,2.8,65.7,0.67,2518,1.0,2.4,-0.2749999999999999,2.4,2.3,8.5,2.4,0.7,1.6,20.8,12.2,12.1,-0.9,-0.9,2.4,18.4,1.1,67.5,11.2,2.4,0.5,Alex Caruso,2020,1.9
2.08,-0.1,1.3999999999999997,-0.1,1.9,0.0249999999999999,4,1.775,-0.2599999999999999,43.0,0.1999999999999999,29.9,2.5,8.4,15.5,0.1999999999999999,1.4,0.2689999999999999,2.5,1.9,0.4,-0.0499999999999999,5.5,4.3,0.0,1.9,2.5,8.4,32,101.7,58,16.3,3.9,62.6,1.9,2.5,64.0,0.76,2532,0.9,2.5,0.0249999999999999,1.9,2.4,11.4,1.9,0.6,1.3,14.4,10.2,11.3,-0.9,-0.9,2.5,21.0,0.8,68.5,10.7,1.9,0.6,Alex Caruso,2021,-0.3
1.0,-1.94,0.8333333333333334,-1.35,1.9,-1.775,4,0.875,-1.66,44.3,-1.1,35.3,2.4,8.5,13.8,-1.7666666666666668,0.7999999999999999,0.211,2.4,-0.3,0.5,-0.75,4.8,4.5,0.2,0.7999999999999999,2.3,7.7,33,105.5,41,14.5,4.8,60.6,0.7999999999999999,3.0,68.2,1.0,2372,0.8,1.9,-1.475,0.7999999999999999,2.9,10.1,0.7999999999999999,0.6,2.1,17.5,9.3,16.1,-1.8,-0.9,2.4,28.0,1.5,65.5,11.6,0.7999999999999999,0.6,Alex Caruso,2022,3.9
1.8,-0.0799999999999999,2.1333333333333333,-1.4,0.5,0.125,6,2.075,-0.52,40.3,-0.1999999999999999,12.9,0.9,5.0,14.9,-1.1666666666666667,1.2,0.318,0.9,0.9,0.5,-0.6,9.9,7.7,-4.0,0.9,0.9,7.5,34,100.0,26,27.3,3.2,65.5,0.9,1.1,50.0,0.22,362,0.3,0.9,-0.925,0.9,2.1,19.4,0.9,3.0,1.2,22.2,12.2,68.8,-1.8,-1.0,0.9,6.2,0.6,72.0,11.9,0.9,-0.1,Alex Len,2023,1.3
0.12,1.1999999999999995,0.0666666666666666,2.75,-1.0,1.35,0,0.5750000000000001,1.84,47.0,1.7,11.7,-1.3,4.8,16.4,2.466666666666667,0.25,0.148,-1.3,-1.3,0.6,2.55,7.7,6.2,-3.5,-1.3,-1.3,6.5,35,107.9,72,21.9,4.1,65.6,-1.3,0.8,64.3,0.54,2169,0.9,-1.3,2.15,-1.3,2.7,15.2,-1.3,0.7,1.6,22.3,15.2,11.6,2.3,3.2,-1.3,13.9,1.0,71.2,12.7,-1.3,-0.4,Alfonzo McKinnie,2019,-1.8
